Nro de Socio;Nombre; apellido; DNI; email personal; fecha de nacimiento; teléfono de contacto; teléfono de contacto emergencia; Nombre de la obra social o prepaga;nro. de socio obra social/prepaga ;teléfono de contacto de emergencia 
SN-4028;PATRICIA A ;SANDOVAL;232359550;SANDOVAL_PATRICIA A @email.com;25/7/1990;1120639588;1120639608; OSMTT;OTT-2585;011 4371-7717
SN-4030; Mariela;NANIN;232475210;NANIN_ Mariela@email.com;12/1/1991;1120639590;1120639610;OSPACP;147858;4962-2211/2031/2382
SN-4114;OSNAGHI ANDREA; LORENA;232738140; LORENA_OSNAGHI ANDREA@email.com;3/5/1990;1120639674;1120639694; Sancor Salud. ;SS-85741;0800 8888 733
SN-4055; ALEJANDRA;PAULETTE;232850890;PAULETTE_ ALEJANDRA@email.com;16/11/1990;1120639615;1120639635; Omint;O125874;4802-0022
SN-4115;LUCIANA VANESA ;FERNANDEZ LOPEZ;233038280;FERNANDEZ LOPEZ_LUCIANA VANESA @email.com;6/3/1990;1120639675;1120639695;OSPROTURA;698524;0800-268-3733
SN-4065;JAIME DANIEL ;MORENO;233329760;MORENO_JAIME DANIEL @email.com;8/2/1990;1120639625;1120639645; OSPIFSE;1258747;0810-333-7647
SN-4046;Santiago; Latrecchiana;233424100; Latrecchiana_Santiago@email.com;26/5/1990;1120639606;1120639626; OSPIFSE;1258746;0810-333-7647
SN-4089;PAMELA GABRIELA; MINO;233429380; MINO_PAMELA GABRIELA@email.com;11/12/1991;1120639649;1120639669; Hominis;H-1245;4959-8228
SN-4034;SILVIO IVAN; MENES;233481990; MENES_SILVIO IVAN@email.com;10/9/1990;1120639594;1120639614; Swiss Medical;2589655;0810-888-3226
SN-4090;ALEJANDRA GABRIELA ;SALEMME;233553600;SALEMME_ALEJANDRA GABRIELA @email.com;12/8/1991;1120639650;1120639670; Medifé;ME-852785963;0800 333 0075
SN-4004; SAMANTA L;GARCIA;233816799;GARCIA_ SAMANTA L@email.com;3/4/1991;1120639564;1120639584; OSAMOC;MCO-698521;011 5263-7008
